log_id,timestamp,api_name,endpoint,request_method,response_code,response_time_ms,request_size_bytes,response_size_bytes,server_name,environment,error_code,timeout_flag,transaction_id
API000000295,2023-12-31 18:00:21,AuthAPI,/api/auth,GET,502,236,873,3483,SRV015,PRODUCTION,E104,N,TXN0000005156
API000000303,2023-12-05 11:48:33,CustomerAPI,/api/customers,POST,500,359,503,5641,SRV005,PRODUCTION,E104,N,
API000000317,2023-02-01 02:55:07,AccountAPI,/api/accounts,POST,503,337,4594,5135,SRV018,PRODUCTION,E111,N,TXN0000021674
API000000346,2024-05-28 08:40:25,FraudAPI,/api/fraud,DELETE,500,1444,4604,3947,SRV036,PRODUCTION,E109,N,TXN0000000452
API000000351,2023-09-08 05:36:53,FraudAPI,/api/fraud,POST,500,38,815,881,SRV016,PRODUCTION,E105,N,TXN0000022936
API000000353,2024-02-26 05:04:32,CustomerAPI,/api/customers,GET,502,514,3008,5690,SRV032,PRODUCTION,E111,N,TXN0000005921
API000000365,2023-08-20 17:16:22,PaymentAPI,/api/payments,GET,502,30,3851,6605,SRV022,PRODUCTION,E101,N,
API000000372,2025-03-11 17:20:52,StatementAPI,/api/statements,GET,502,99,2716,7107,SRV033,PRODUCTION,E104,N,
API000000382,2025-09-26 23:15:31,AccountAPI,/api/accounts,GET,502,191,343,7657,SRV025,PRODUCTION,E100,N,TXN0000008450
API000000389,2026-07-23 18:53:14,LoanAPI,/api/loans,GET,504,162,2627,8752,SRV021,PRODUCTION,E109,Y,TXN0000012255
API000000403,2026-01-12 20:05:44,KYCAPI,/api/kyc,PUT,503,307,1480,8643,SRV024,SIT,E101,N,TXN0000005976
API000000411,2023-11-08 12:10:50,CustomerAPI,/api/customers,GET,502,142,4911,1625,SRV012,PRODUCTION,E106,N,
API000000413,2024-01-03 06:02:11,PaymentAPI,/api/payments,PUT,500,50,4672,2795,SRV007,PRODUCTION,E101,N,TXN0000023517
API000000420,2023-11-15 18:59:45,AuthAPI,/api/auth,GET,504,284,909,1801,SRV035,PRODUCTION,E111,Y,TXN0000010137
API000000428,2026-06-06 00:35:05,StatementAPI,/api/statements,GET,504,1790,320,9388,SRV039,PRODUCTION,E104,Y,
API000000442,2024-12-27 18:12:43,PaymentAPI,/api/payments,PUT,500,120,1019,7404,SRV025,PRODUCTION,E106,N,
API000000450,2023-05-19 01:27:59,LoanAPI,/api/loans,DELETE,502,245,4220,9273,SRV019,PRODUCTION,E102,N,
API000000451,2026-03-27 00:09:53,AuthAPI,/api/auth,GET,504,970,3653,9690,SRV020,PRODUCTION,E111,Y,TXN0000015128
API000000463,2025-03-10 03:57:16,AuthAPI,/api/auth,PUT,500,431,1945,1757,SRV020,SIT,E102,N,TXN0000007280
API000000510,2024-08-13 14:45:49,PaymentAPI,/api/payments,GET,503,146,1407,9766,SRV033,UAT,E102,N,TXN0000001804
API000000519,2024-09-25 08:54:07,StatementAPI,/api/statements,GET,503,137,3224,7497,SRV018,PRODUCTION,E102,N,TXN0000024168
API000000524,2025-07-22 12:31:38,AccountAPI,/api/accounts,GET,500,300,1722,6708,SRV018,PRODUCTION,E108,N,TXN0000011554
API000000530,2024-10-04 02:52:58,LoanAPI,/api/loans,GET,504,402,2899,4708,SRV010,UAT,E111,Y,TXN0000010848
API000000551,2024-02-14 08:20:25,KYCAPI,/api/kyc,GET,502,42,2736,3651,SRV038,PRODUCTION,E104,N,TXN0000012105
API000000625,2025-03-10 21:39:04,LoanAPI,/api/loans,GET,503,216,3467,9715,SRV018,PRODUCTION,E108,N,
API000000631,2026-01-30 08:51:08,TransactionAPI,/api/transactions,POST,500,178,2431,3006,SRV039,PRODUCTION,E104,N,
API000000640,2024-01-27 17:09:41,StatementAPI,/api/statements,POST,502,42,2085,247,SRV015,UAT,E111,N,
API000000645,2026-01-23 09:34:41,AccountAPI,/api/accounts,GET,503,220,2040,4334,SRV031,SIT,E106,N,TXN0000002396
API000000652,2026-02-12 08:58:30,CustomerAPI,/api/customers,GET,503,330,4120,770,SRV022,PRODUCTION,E109,N,TXN0000007253
API000000653,2023-04-06 00:46:39,PaymentAPI,/api/payments,GET,500,164,4101,5841,SRV032,PRODUCTION,E104,N,TXN0000018487
API000000655,2024-03-27 11:40:55,AccountAPI,/api/accounts,GET,504,297,1578,8252,SRV013,PRODUCTION,E104,Y,
API000000660,2024-07-27 04:49:45,KYCAPI,/api/kyc,GET,502,46,3522,2746,SRV032,PRODUCTION,E102,N,TXN0000017958
API000000663,2023-02-04 21:50:14,CustomerAPI,/api/customers,POST,504,181,3859,9956,SRV021,PRODUCTION,E100,Y,TXN0000012930
API000000670,2024-07-07 11:58:50,KYCAPI,/api/kyc,PUT,502,377,906,6702,SRV031,PRODUCTION,E104,N,
API000000680,2025-05-15 03:31:14,NotificationAPI,/api/notifications,GET,500,831,3858,1585,SRV029,PRODUCTION,E110,N,TXN0000010354
API000000690,2024-05-06 18:11:55,LoanAPI,/api/loans,PUT,504,117,4964,7182,SRV017,SIT,E111,Y,
API000000703,2024-07-24 15:40:04,KYCAPI,/api/kyc,POST,504,256,4798,5348,SRV014,PRODUCTION,E100,Y,
API000000722,2026-02-08 15:56:05,PaymentAPI,/api/payments,GET,500,215,999,8503,SRV017,UAT,E106,N,
API000000723,2024-04-19 15:43:04,AuthAPI,/api/auth,POST,500,140,1079,1771,SRV035,PRODUCTION,E102,N,TXN0000009682
API000000737,2025-04-04 11:38:34,FraudAPI,/api/fraud,POST,502,264,1587,4810,SRV021,PRODUCTION,E105,N,TXN0000002192
API000000743,2024-09-03 17:08:13,NotificationAPI,/api/notifications,POST,504,358,4418,8600,SRV009,PRODUCTION,E108,Y,
API000000748,2023-04-24 14:11:04,NotificationAPI,/api/notifications,GET,504,69,3947,4950,SRV004,PRODUCTION,E102,Y,TXN0000002607
API000000758,2024-06-15 13:23:21,NotificationAPI,/api/notifications,GET,500,257,1130,7086,SRV031,PRODUCTION,E109,N,TXN0000020099
API000000761,2023-10-15 04:25:09,AuthAPI,/api/auth,PUT,504,108,741,9984,SRV017,PRODUCTION,E104,Y,TXN0000023279
API000000775,2023-09-13 02:23:06,TransactionAPI,/api/transactions,GET,502,717,291,8606,SRV021,UAT,E102,N,
API000000805,2024-09-13 19:28:09,FraudAPI,/api/fraud,POST,503,91,1438,6453,SRV014,PRODUCTION,E107,N,TXN0000007977
API000000837,2025-04-21 17:02:55,NotificationAPI,/api/notifications,POST,502,512,3136,7706,SRV019,PRODUCTION,E103,N,
API000000849,2026-01-30 03:15:56,NotificationAPI,/api/notifications,POST,503,544,580,8799,SRV023,UAT,E101,N,
API000000869,2024-07-11 07:11:55,FraudAPI,/api/fraud,POST,500,128,1376,1069,SRV036,PRODUCTION,E102,N,
API000000876,2023-11-25 20:24:36,KYCAPI,/api/kyc,POST,503,199,2191,231,SRV011,UAT,E102,N,TXN0000002969
API000000892,2026-04-07 10:18:52,StatementAPI,/api/statements,POST,500,714,1117,3038,SRV037,PRODUCTION,E105,N,TXN0000007577
API000000896,2025-03-24 05:06:39,FraudAPI,/api/fraud,GET,504,49,3313,8801,SRV010,PRODUCTION,E104,Y,
API000000903,2024-10-14 01:08:59,AccountAPI,/api/accounts,GET,504,190,4208,5766,SRV028,PRODUCTION,E104,Y,TXN0000021467
API000000931,2025-03-21 01:58:59,AuthAPI,/api/auth,DELETE,503,37,2550,5721,SRV020,PRODUCTION,E109,N,TXN0000017173
API000000952,2024-10-09 16:39:29,TransactionAPI,/api/transactions,GET,500,482,4427,5776,SRV013,SIT,E108,N,TXN0000010888
API000000954,2026-07-29 22:18:53,LoanAPI,/api/loans,POST,500,233,2874,3218,SRV012,PRODUCTION,E105,N,TXN0000018857
API000000965,2023-04-11 17:05:44,PaymentAPI,/api/payments,GET,504,153,4046,4289,SRV007,PRODUCTION,E108,Y,TXN0000015045
API000000970,2025-07-20 17:56:39,FraudAPI,/api/fraud,GET,500,127,660,1481,SRV023,PRODUCTION,E101,N,TXN0000019249
API000000977,2025-03-07 22:49:22,FraudAPI,/api/fraud,GET,504,37,4285,3911,SRV005,PRODUCTION,E100,Y,TXN0000008384
API000000979,2026-07-27 18:08:09,AccountAPI,/api/accounts,GET,503,74,3793,5899,SRV009,PRODUCTION,E111,N,
API000001001,2026-07-19 01:15:52,KYCAPI,/api/kyc,GET,502,102,2991,4728,SRV006,PRODUCTION,E107,N,TXN0000016750
API000001002,2023-08-26 14:07:47,PaymentAPI,/api/payments,GET,500,47,2538,8800,SRV015,PRODUCTION,E108,N,TXN0000001149
API000001005,2026-06-06 21:37:22,KYCAPI,/api/kyc,GET,503,330,3781,6256,SRV039,PRODUCTION,E109,N,
API000001008,2024-08-09 18:27:40,FraudAPI,/api/fraud,POST,502,347,2969,9480,SRV013,PRODUCTION,E100,N,TXN0000009346
API000001014,2024-10-05 09:17:00,NotificationAPI,/api/notifications,POST,502,274,3936,3927,SRV023,UAT,E104,N,TXN0000003664
API000001049,2023-09-20 22:33:01,NotificationAPI,/api/notifications,POST,503,161,1124,6715,SRV010,PRODUCTION,E110,N,TXN0000008134
API000001052,2023-10-26 02:11:06,PaymentAPI,/api/payments,POST,503,237,2662,5623,SRV025,PRODUCTION,E108,N,
API000001065,2023-10-10 16:11:48,AuthAPI,/api/auth,POST,504,129,1623,9253,SRV009,PRODUCTION,E107,Y,TXN0000015639
API000001067,2024-03-30 17:45:07,CustomerAPI,/api/customers,GET,502,732,4799,1508,SRV026,PRODUCTION,E106,N,TXN0000024665
API000001081,2024-10-28 19:37:33,TransactionAPI,/api/transactions,GET,504,620,330,5120,SRV031,PRODUCTION,E106,Y,
API000001089,2024-05-31 17:16:39,FraudAPI,/api/fraud,POST,504,150,1945,3877,SRV009,PRODUCTION,E102,Y,TXN0000020071
API000001096,2025-01-31 17:36:13,AccountAPI,/api/accounts,GET,504,84,2122,345,SRV040,PRODUCTION,E101,Y,TXN0000004374
API000001097,2024-01-04 04:05:15,KYCAPI,/api/kyc,PUT,503,179,1563,3746,SRV020,PRODUCTION,E101,N,TXN0000024554
API000001108,2025-02-02 12:20:06,KYCAPI,/api/kyc,POST,504,155,4567,2845,SRV018,SIT,E101,Y,
API000001110,2024-01-14 02:36:51,CustomerAPI,/api/customers,POST,500,2076,4051,4471,SRV016,PRODUCTION,E102,N,TXN0000010075
API000001124,2025-06-29 06:11:57,NotificationAPI,/api/notifications,POST,502,45,4323,1196,SRV017,PRODUCTION,E108,N,
API000001138,2024-09-22 21:39:44,TransactionAPI,/api/transactions,GET,500,234,796,2294,SRV016,PRODUCTION,E108,N,TXN0000018169
API000001148,2025-02-27 08:11:15,CustomerAPI,/api/customers,GET,504,526,4592,3629,SRV003,PRODUCTION,E104,Y,
API000001152,2025-07-09 12:50:28,FraudAPI,/api/fraud,PUT,502,42,4582,8004,SRV018,PRODUCTION,E108,N,TXN0000022725
API000001154,2026-03-17 21:42:35,AuthAPI,/api/auth,POST,504,475,2025,3485,SRV038,PRODUCTION,E108,Y,TXN0000004227
API000001163,2024-03-31 14:49:13,TransactionAPI,/api/transactions,GET,502,75,3660,7192,SRV039,PRODUCTION,E100,N,TXN0000003440
API000001182,2023-10-22 06:32:58,CustomerAPI,/api/customers,POST,504,570,1364,5091,SRV006,PRODUCTION,E106,Y,TXN0000015563
API000001183,2023-08-12 21:13:40,CustomerAPI,/api/customers,PUT,502,500,3349,4295,SRV012,PRODUCTION,E110,N,TXN0000007347
API000001199,2023-08-01 23:44:56,AuthAPI,/api/auth,GET,500,113,625,5083,SRV001,UAT,E105,N,TXN0000019553
API000001201,2025-08-28 02:00:59,KYCAPI,/api/kyc,PUT,502,352,4153,2910,SRV037,UAT,E110,N,TXN0000023058
API000001204,2025-11-16 04:31:46,PaymentAPI,/api/payments,POST,504,494,3246,8494,SRV029,PRODUCTION,E103,Y,
API000001220,2025-11-22 15:42:55,CustomerAPI,/api/customers,POST,503,132,128,2492,SRV003,PRODUCTION,E105,N,TXN0000016704
API000001241,2023-09-02 04:17:45,FraudAPI,/api/fraud,GET,502,117,4076,1463,SRV013,PRODUCTION,E103,N,
API000001243,2026-05-14 19:07:52,PaymentAPI,/api/payments,GET,502,134,4451,3330,SRV038,PRODUCTION,E103,N,TXN0000019872
API000001247,2024-03-10 19:40:20,TransactionAPI,/api/transactions,GET,504,107,3306,1413,SRV035,PRODUCTION,E102,Y,
API000001252,2023-04-10 16:51:39,FraudAPI,/api/fraud,POST,504,135,1355,3292,SRV020,PRODUCTION,E109,Y,TXN0000011014
API000001267,2025-06-29 04:42:37,KYCAPI,/api/kyc,POST,504,113,3544,6873,SRV014,PRODUCTION,E102,Y,TXN0000005318
API000001270,2023-12-01 13:31:58,AuthAPI,/api/auth,POST,504,136,392,6449,SRV033,PRODUCTION,E110,Y,
API000001271,2025-07-06 05:59:21,StatementAPI,/api/statements,GET,502,211,3269,1109,SRV019,PRODUCTION,E104,N,
API000001278,2024-11-16 03:38:58,TransactionAPI,/api/transactions,POST,504,201,1706,5945,SRV023,UAT,E102,Y,
API000001279,2026-07-18 22:52:23,StatementAPI,/api/statements,PUT,503,292,2276,9584,SRV030,UAT,E105,N,TXN0000023089
API000001284,2025-08-29 13:21:38,FraudAPI,/api/fraud,POST,504,470,343,9757,SRV024,PRODUCTION,E108,Y,
API000001287,2024-12-11 07:46:50,PaymentAPI,/api/payments,POST,500,109,4783,9606,SRV038,UAT,E110,N,
API000001304,2024-05-28 13:25:11,NotificationAPI,/api/notifications,GET,503,120,1258,2674,SRV026,PRODUCTION,E111,N,
API000001306,2023-12-01 20:35:38,LoanAPI,/api/loans,GET,502,31,1581,6841,SRV005,PRODUCTION,E105,N,TXN0000017241
API000001324,2024-04-05 23:27:14,KYCAPI,/api/kyc,GET,502,65,3819,9657,SRV033,UAT,E109,N,
API000001356,2025-08-17 02:52:08,NotificationAPI,/api/notifications,GET,500,173,2924,6968,SRV013,PRODUCTION,E110,N,TXN0000018926
API000001364,2025-08-04 03:14:19,NotificationAPI,/api/notifications,GET,500,42,3685,8556,SRV015,PRODUCTION,E101,N,
API000001365,2025-09-19 07:23:05,StatementAPI,/api/statements,PUT,500,619,3648,3763,SRV009,PRODUCTION,E110,N,TXN0000019947
API000001376,2024-04-14 17:44:12,LoanAPI,/api/loans,GET,503,151,4787,3930,SRV005,PRODUCTION,E102,N,
API000001386,2024-04-29 02:16:39,CustomerAPI,/api/customers,POST,503,110,4123,6180,SRV011,PRODUCTION,E104,N,
API000001387,2023-03-03 21:09:05,CustomerAPI,/api/customers,GET,503,29,335,5380,SRV021,PRODUCTION,E108,N,
API000001396,2025-02-01 02:55:03,LoanAPI,/api/loans,DELETE,504,966,4084,8618,SRV033,PRODUCTION,E105,Y,TXN0000002420
API000001399,2023-06-21 14:34:20,StatementAPI,/api/statements,GET,500,68,4994,723,SRV031,PRODUCTION,E104,N,TXN0000020452
API000001419,2023-03-09 00:41:52,CustomerAPI,/api/customers,GET,500,48,3179,1834,SRV018,SIT,E108,N,TXN0000002242
API000001421,2025-06-22 23:35:27,LoanAPI,/api/loans,GET,503,361,1454,4409,SRV015,PRODUCTION,E102,N,
API000001445,2023-05-05 08:37:00,TransactionAPI,/api/transactions,GET,500,541,526,8648,SRV037,PRODUCTION,E105,N,TXN0000005229
API000001447,2025-02-27 04:03:43,AuthAPI,/api/auth,GET,503,440,1590,892,SRV002,SIT,E109,N,TXN0000004905
API000001454,2024-07-23 21:37:58,TransactionAPI,/api/transactions,GET,500,312,1078,4149,SRV028,PRODUCTION,E101,N,
API000001477,2025-04-11 13:44:34,NotificationAPI,/api/notifications,PUT,504,172,2177,5234,SRV027,PRODUCTION,E100,Y,TXN0000008833
API000001481,2025-11-26 05:46:14,FraudAPI,/api/fraud,GET,500,120,1067,4015,SRV002,PRODUCTION,E102,N,TXN0000004645
API000001498,2026-05-05 07:00:09,AuthAPI,/api/auth,GET,502,90,306,709,SRV003,PRODUCTION,E105,N,TXN0000018405
API000001500,2024-11-20 15:39:29,TransactionAPI,/api/transactions,GET,502,121,4144,9419,SRV023,PRODUCTION,E100,N,
API000001512,2026-01-09 20:47:07,AccountAPI,/api/accounts,POST,500,434,3430,4698,SRV019,PRODUCTION,E105,N,
API000001521,2024-10-15 21:51:37,TransactionAPI,/api/transactions,GET,504,573,3317,4272,SRV008,PRODUCTION,E109,Y,
API000001545,2023-02-23 10:04:50,StatementAPI,/api/statements,POST,504,196,313,6155,SRV027,SIT,E103,Y,TXN0000007028
API000001551,2023-07-12 01:59:48,FraudAPI,/api/fraud,POST,502,494,4974,4488,SRV036,PRODUCTION,E111,N,
API000001559,2024-01-31 15:46:47,CustomerAPI,/api/customers,GET,502,160,4254,6758,SRV017,PRODUCTION,E101,N,TXN0000021790
API000001578,2025-11-02 16:06:28,TransactionAPI,/api/transactions,PUT,500,90,1074,4305,SRV037,PRODUCTION,E101,N,TXN0000022531
API000001590,2025-11-08 18:17:47,AuthAPI,/api/auth,POST,500,333,4096,5284,SRV023,PRODUCTION,E107,N,
API000001598,2023-05-25 10:56:53,LoanAPI,/api/loans,PUT,503,126,3238,3988,SRV040,PRODUCTION,E111,N,TXN0000000286
API000001599,2025-02-04 13:09:34,LoanAPI,/api/loans,DELETE,503,230,2125,1751,SRV040,UAT,E101,N,
API000001609,2026-01-20 10:53:27,AuthAPI,/api/auth,GET,500,1020,570,1298,SRV035,PRODUCTION,E111,N,
API000001630,2026-06-18 00:44:56,NotificationAPI,/api/notifications,GET,500,92,2650,8372,SRV013,PRODUCTION,E110,N,TXN0000004079
API000001633,2025-07-23 17:56:56,CustomerAPI,/api/customers,GET,500,110,432,2626,SRV031,UAT,E102,N,
API000001636,2023-08-01 19:54:09,KYCAPI,/api/kyc,GET,502,276,297,5827,SRV022,PRODUCTION,E103,N,
API000001637,2025-10-24 06:59:14,CustomerAPI,/api/customers,POST,503,297,1750,9448,SRV004,PRODUCTION,E101,N,TXN0000021226
API000001646,2024-05-08 12:51:09,FraudAPI,/api/fraud,GET,503,196,3326,9823,SRV022,UAT,E106,N,
API000001649,2023-11-18 13:32:46,StatementAPI,/api/statements,GET,500,238,3458,9953,SRV002,PRODUCTION,E107,N,
API000001654,2025-05-06 04:43:53,AccountAPI,/api/accounts,POST,504,156,2087,356,SRV037,PRODUCTION,E100,Y,TXN0000002940
API000001723,2024-10-21 09:37:13,CustomerAPI,/api/customers,GET,504,249,4649,1213,SRV030,PRODUCTION,E103,Y,TXN0000015563
API000001724,2023-11-10 06:32:21,AccountAPI,/api/accounts,PUT,504,425,4836,2595,SRV035,PRODUCTION,E104,Y,
API000001743,2024-06-09 10:05:43,KYCAPI,/api/kyc,GET,504,356,4397,8076,SRV039,PRODUCTION,E102,Y,TXN0000023818
API000001746,2025-07-24 03:34:23,FraudAPI,/api/fraud,GET,500,156,3283,8337,SRV022,PRODUCTION,E100,N,TXN0000019212
API000001752,2026-05-18 22:17:07,AuthAPI,/api/auth,PUT,500,355,3645,4161,SRV025,SIT,E101,N,TXN0000017914
API000001756,2024-06-17 07:02:48,NotificationAPI,/api/notifications,POST,502,182,1170,3123,SRV023,PRODUCTION,E105,N,TXN0000003516
API000001767,2025-12-11 19:10:22,StatementAPI,/api/statements,POST,500,655,3869,8926,SRV020,PRODUCTION,E106,N,TXN0000021981
API000001770,2025-03-01 12:14:50,KYCAPI,/api/kyc,POST,500,390,4183,8573,SRV019,PRODUCTION,E105,N,TXN0000004476
API000001773,2026-03-18 17:05:11,KYCAPI,/api/kyc,GET,504,207,4530,7256,SRV033,PRODUCTION,E104,Y,
API000001775,2023-10-17 22:26:27,PaymentAPI,/api/payments,POST,504,423,1640,2905,SRV035,UAT,E101,Y,
API000001792,2026-04-27 16:18:53,CustomerAPI,/api/customers,PUT,500,427,148,707,SRV012,PRODUCTION,E110,N,TXN0000009779
API000001793,2024-06-07 12:06:07,AuthAPI,/api/auth,POST,500,514,3744,3511,SRV003,PRODUCTION,E100,N,
API000001808,2025-11-30 15:12:00,NotificationAPI,/api/notifications,GET,503,263,4748,3360,SRV031,PRODUCTION,E100,N,TXN0000003185
API000001816,2023-10-11 14:35:16,AccountAPI,/api/accounts,GET,500,232,1253,6907,SRV016,PRODUCTION,E111,N,TXN0000005277
API000001840,2024-02-21 10:16:07,KYCAPI,/api/kyc,GET,500,487,2453,9012,SRV025,PRODUCTION,E103,N,TXN0000020451
API000001841,2024-05-11 01:36:36,FraudAPI,/api/fraud,GET,500,406,3556,4186,SRV016,PRODUCTION,E103,N,
API000001861,2024-10-21 02:38:51,LoanAPI,/api/loans,POST,500,214,394,7801,SRV037,PRODUCTION,E101,N,
API000001891,2025-02-01 20:17:00,LoanAPI,/api/loans,PUT,500,82,975,8804,SRV011,PRODUCTION,E110,N,
API000001897,2024-07-14 20:49:58,LoanAPI,/api/loans,GET,503,167,805,1980,SRV033,PRODUCTION,E102,N,
API000001900,2024-06-01 15:34:28,TransactionAPI,/api/transactions,PUT,500,108,4597,1024,SRV018,PRODUCTION,E106,N,TXN0000007994
API000001906,2026-07-05 00:02:14,LoanAPI,/api/loans,POST,504,178,1756,4082,SRV007,PRODUCTION,E100,Y,TXN0000024496
API000001911,2024-09-23 17:47:24,StatementAPI,/api/statements,GET,504,598,3106,1164,SRV018,UAT,E110,Y,TXN0000000726
API000001934,2024-06-21 19:22:47,AuthAPI,/api/auth,POST,503,89,2107,5218,SRV014,PRODUCTION,E107,N,
API000001935,2023-11-20 17:17:09,FraudAPI,/api/fraud,PUT,500,331,1064,4313,SRV037,PRODUCTION,E110,N,
API000001947,2023-04-04 08:30:09,NotificationAPI,/api/notifications,GET,502,267,2502,3610,SRV011,SIT,E100,N,TXN0000020287
API000001948,2024-06-26 14:06:59,NotificationAPI,/api/notifications,GET,504,431,119,3833,SRV030,PRODUCTION,E102,Y,TXN0000016062
API000001949,2024-09-15 09:56:10,CustomerAPI,/api/customers,GET,500,152,2696,8096,SRV023,PRODUCTION,E105,N,TXN0000017894
API000001952,2026-07-02 16:46:09,AccountAPI,/api/accounts,GET,500,145,1859,4203,SRV007,PRODUCTION,E104,N,
API000001955,2025-03-22 11:02:13,PaymentAPI,/api/payments,GET,503,521,1650,272,SRV004,PRODUCTION,E103,N,TXN0000001700
API000001975,2023-08-23 13:53:56,TransactionAPI,/api/transactions,GET,500,314,1525,6398,SRV037,PRODUCTION,E111,N,
API000001982,2025-01-13 13:15:39,KYCAPI,/api/kyc,POST,500,158,4018,5805,SRV032,PRODUCTION,E111,N,TXN0000002782
API000001986,2024-06-03 20:17:03,LoanAPI,/api/loans,GET,504,277,3791,2072,SRV012,PRODUCTION,E101,Y,TXN0000006289
API000002007,2023-04-29 16:20:10,StatementAPI,/api/statements,GET,503,253,3795,9413,SRV005,PRODUCTION,E101,N,TXN0000001374
API000002008,2025-12-27 22:00:43,AccountAPI,/api/accounts,GET,502,527,4267,6027,SRV038,UAT,E100,N,
API000002021,2025-07-09 00:00:00,AccountAPI,/api/accounts,POST,504,440,4918,5292,SRV039,PRODUCTION,E108,Y,
API000002027,2023-12-06 23:30:31,StatementAPI,/api/statements,POST,504,121,1775,310,SRV030,PRODUCTION,E106,Y,TXN0000009319
API000002036,2025-04-16 01:34:06,KYCAPI,/api/kyc,DELETE,504,266,3800,4115,SRV037,PRODUCTION,E101,Y,TXN0000001834
API000002040,2023-05-31 21:29:58,LoanAPI,/api/loans,GET,504,138,4716,7534,SRV030,PRODUCTION,E100,Y,TXN0000006469
API000002049,2025-08-04 04:41:03,FraudAPI,/api/fraud,DELETE,500,168,1659,5970,SRV030,PRODUCTION,E102,N,TXN0000001948
API000002056,2023-03-23 06:24:18,AccountAPI,/api/accounts,GET,503,114,127,7459,SRV037,PRODUCTION,E105,N,TXN0000022118
API000002061,2025-10-08 04:33:01,AuthAPI,/api/auth,POST,502,447,1698,2200,SRV033,PRODUCTION,E111,N,TXN0000010365
API000002064,2023-08-15 20:55:36,PaymentAPI,/api/payments,GET,502,1146,1148,8578,SRV034,PRODUCTION,E100,N,TXN0000015053
API000002085,2023-12-28 17:46:10,AuthAPI,/api/auth,PUT,500,241,4206,9597,SRV011,PRODUCTION,E102,N,TXN0000004544
